,Frequency,CustGender,CustAccountBalance,Monetary,CustomerAge,Recency,Cluster
0,1,0,42829.91,5.0,30.0,306,3
1,1,1,29711.74,24.0,23.0,306,0
2,1,1,134.61,25.0,29.0,306,0
3,1,1,34009.18,52.0,29.0,306,0
4,1,1,5110.16,250.0,25.0,306,0
5,1,1,2445.41,108.0,34.0,306,1
6,1,1,6017.79,213.0,23.0,306,0
7,1,1,38.81,500.0,32.0,306,1
8,1,1,38971.27,224.0,39.0,306,1
9,1,1,32633.01,150.0,22.0,306,0
10,1,0,84.82,149.0,25.0,306,3
11,1,0,31112.53,339.88,26.0,306,3
12,1,1,2044.05,210.0,24.0,306,0
13,1,0,37143.98,850.0,29.0,306,3
14,1,1,0.08,50.0,27.0,306,0
15,1,1,76117.58,1000.0,36.0,306,2
16,1,1,28716.39,300.0,30.0,306,1
17,1,1,4390.06,300.0,31.0,306,1
18,1,1,121.72,76.0,27.0,306,0
19,1,1,96.19,200.0,28.0,306,0
20,1,1,9505.08,2000.0,34.0,306,4
21,1,0,83642.35,360.0,36.0,306,2
22,1,1,59.85,1.0,25.0,306,0
23,1,1,12504.71,746.55,21.0,306,0
24,1,1,19028.75,1662.36,30.0,306,4
25,1,0,733.62,806.0,28.0,306,3
26,1,0,10977.92,60.0,25.0,306,3
27,1,1,116255.65,600.0,36.0,306,2
28,1,1,261.11,95.0,23.0,306,0
29,1,1,30875.46,19.0,30.0,306,0
30,1,1,5438.9,700.0,42.0,306,1
31,1,1,56662.48,600.0,22.0,306,0
32,1,1,0.1,159.0,32.0,306,1
33,1,0,17874.44,459.0,20.0,306,3
34,1,0,26136.84,448.5,26.0,306,3
35,1,1,30170.44,299.0,35.0,306,1
36,1,1,12470.76,262.24,29.0,306,0
37,1,1,3288.94,1512.75,27.0,306,4
38,1,1,19179.09,1456.1,28.0,306,4
39,1,1,11226.79,250.0,27.0,306,0
40,1,0,25383.2,146.0,22.0,306,3
41,1,1,20586.67,1199.0,31.0,306,4
42,1,0,0.0,388.0,28.0,306,3
43,1,0,13451.38,799.0,28.0,306,3
44,1,0,35981.54,295.0,34.0,306,3
45,1,0,13470.03,1198.0,31.0,306,3
46,1,0,80291.46,1699.0,25.0,306,4
47,1,1,11824.27,300.0,37.0,306,1
48,1,0,44559.76,396.81,34.0,306,3
49,1,1,638.52,59.0,24.0,306,0
50,1,1,34461.48,557.0,27.0,306,0
51,1,1,2098.81,495.0,30.0,306,1
52,1,1,7276.05,1.0,26.0,306,0
53,1,1,25430.05,49.0,27.0,306,0
54,1,1,261.01,50.0,27.0,306,0
55,1,1,8349.25,1426.32,35.0,306,4
56,1,1,8850.1,704.0,30.0,306,1
57,1,1,8.22,710.0,25.0,306,0
58,1,1,2281.16,500.0,24.0,306,0
59,1,1,12330.73,127.0,23.0,306,0
60,1,0,2293.51,190.0,32.0,306,3
61,1,1,33.03,283.38,32.0,306,1
62,1,0,52639.0,1263.0,25.0,306,3
63,1,1,27312.86,348.0,25.0,306,0
64,1,1,6759.06,215.0,22.0,306,0
65,1,1,31.4,1872.1,27.0,306,4
66,1,0,9532.35,8.0,28.0,306,3
67,1,1,28395.52,100.0,30.0,306,0
68,1,1,4319.52,530.0,25.0,306,0
69,1,1,9383.01,490.0,39.0,306,1
70,1,1,37474.64,1055.5,39.0,306,1
71,1,1,3327.02,2167.12,32.0,306,4
72,1,0,6916.03,250.0,25.0,306,3
73,1,1,58722.23,2000.0,28.0,306,4
74,1,1,40077.87,100.0,23.0,306,0
75,1,1,7306.85,1800.0,25.0,306,4
76,1,1,2277.84,70.0,34.0,306,1
77,1,1,9438.54,50.0,26.0,306,0
78,1,1,14584.15,860.0,32.0,306,1
79,1,0,8879.64,136.0,25.0,306,3
80,1,1,35574.73,72.0,28.0,306,0
81,1,0,35932.85,444.0,27.0,306,3
82,1,1,6349.9,461.0,28.0,306,0
83,1,1,4985.25,594.0,32.0,306,1
84,1,1,28779.38,110.0,39.0,306,1
85,1,0,4868.82,100.0,28.0,306,3
86,1,1,5122.14,500.0,26.0,306,0
87,1,1,48.94,250.0,40.0,306,1
88,1,1,2446.17,750.0,31.0,306,1
89,1,1,1447.81,298.0,26.0,306,0
90,1,1,3200.83,500.0,24.0,306,0
91,1,1,426.3,50.0,25.0,306,0
92,1,1,785.13,169.0,23.0,306,0
93,1,1,87473.38,225.0,27.0,306,2
94,1,1,20872.22,1600.0,18.0,306,4
95,1,1,76.31,30.0,28.0,306,0
96,1,1,13369.36,353.0,34.0,306,1
97,1,1,17542.72,1700.0,29.0,306,4
98,1,1,92.97,359.0,38.0,306,1
99,1,1,949.87,240.0,23.0,306,0
100,1,0,3101.71,202.0,25.0,306,3
101,1,1,3890.48,500.0,33.0,306,1
102,1,1,24815.29,1130.0,26.0,306,4
103,1,0,4885.71,641.0,27.0,306,3
104,1,1,67356.25,355.0,29.0,306,2
105,1,1,7355.75,1000.0,34.0,306,1
106,1,0,1296.68,30.0,25.0,306,3
107,1,1,361.87,170.0,36.0,306,1
108,1,1,69.43,100.0,27.0,306,0
109,1,0,54145.89,620.0,29.0,306,3
110,1,1,82575.51,1600.0,27.0,306,2
111,1,1,7382.69,1698.0,24.0,306,4
112,1,0,4632.79,812.0,28.0,306,3
113,1,1,73650.37,1550.0,40.0,306,2
114,1,1,9445.42,195.0,31.0,306,1
115,1,1,39327.16,100.0,21.0,306,0
116,1,1,93220.84,46.0,26.0,306,2
117,1,0,73813.09,115.0,24.0,306,3
118,1,0,20055.25,245.79,23.0,306,3
119,1,1,10766.01,1779.5,27.0,306,4
120,1,1,30.52,27.0,25.0,306,0
121,1,0,6829.19,462.0,28.0,306,3
122,1,1,2072.66,770.0,27.0,306,0
123,1,1,10758.55,1550.0,31.0,306,4
124,1,1,8626.56,325.0,21.0,306,0
125,1,1,6839.85,190.0,35.0,306,1
126,1,1,19172.93,390.0,30.0,306,1
127,1,1,26052.71,500.0,30.0,306,1
128,1,0,42284.29,1565.47,25.0,306,4
129,1,1,11872.81,400.0,28.0,306,0
130,1,1,4935.36,150.0,20.0,306,0
131,1,1,9348.72,100.0,30.0,306,0
132,1,1,17690.27,610.0,30.0,306,1
133,1,1,24846.93,270.0,38.0,306,1
134,1,1,15500.51,53.0,27.0,306,0
135,1,1,12896.37,500.0,25.0,306,0
136,1,1,0.0,200.0,36.0,306,1
137,1,1,151.18,200.0,26.0,306,0
138,1,0,8914.72,1521.0,29.0,306,4
139,1,1,23514.02,310.0,31.0,306,1
140,1,1,4737.34,380.0,24.0,306,0
141,1,1,70042.55,1000.0,38.0,306,2
142,1,1,63526.19,1889.0,40.0,306,4
143,1,0,2084.62,2298.0,22.0,306,4
144,1,1,29904.47,29.0,19.0,306,0
145,1,1,51333.94,500.0,21.0,306,0
146,1,1,14523.02,660.0,38.0,306,1
147,1,0,8340.24,199.0,22.0,306,3
148,1,1,5333.38,15.0,24.0,306,0
149,1,0,35758.0,700.0,39.0,306,3
150,1,1,8039.57,40.0,28.0,306,0
151,1,1,10957.18,0.0,31.0,306,1
152,1,0,24281.87,50.0,28.0,306,3
153,1,1,11870.69,310.0,29.0,306,0
154,1,1,45965.04,100.0,26.0,306,0
155,1,1,3829.07,949.0,24.0,306,0
156,1,1,693.05,364.0,26.0,306,0
157,1,1,82.58,763.0,28.0,306,0
158,1,0,9456.37,30.0,23.0,306,3
159,1,1,37355.2,830.0,35.0,306,1
160,1,1,686.26,200.0,22.0,306,0
161,1,0,119009.03,1100.0,40.0,306,2
162,1,0,114052.18,309.0,30.0,306,2
163,1,0,6263.14,30.0,24.0,306,3
164,1,1,7457.57,20.0,29.0,306,0
165,1,1,9740.81,300.0,25.0,306,0
166,1,0,3935.34,1349.0,26.0,306,3
167,1,1,35662.31,100.0,22.0,306,0
168,1,1,55211.22,273.0,41.0,306,1
169,1,0,33947.49,277.41,34.0,306,3
170,1,1,19006.24,1360.0,23.0,306,4
171,1,1,10875.39,100.0,23.0,306,0
172,1,1,100822.05,438.0,29.0,306,2
173,1,1,2928.81,70.0,20.0,306,0
174,1,1,2291.96,440.0,23.0,306,0
175,1,1,14.15,144.0,24.0,306,0
176,1,0,64726.21,110.0,24.0,306,3
177,1,1,950.48,49.0,19.0,306,0
178,1,1,244.87,1017.0,42.0,306,1
179,1,1,21845.3,260.0,37.0,306,1
180,1,0,6158.53,376.0,28.0,306,3
181,1,0,53788.83,30.0,28.0,306,3
182,1,1,7005.17,570.0,32.0,306,1
183,1,1,19219.18,169.0,32.0,306,1
184,1,1,40810.69,562.0,32.0,306,1
185,1,1,2775.44,765.0,28.0,306,0
186,1,1,2007.41,249.0,31.0,306,1
187,1,1,1940.44,1711.0,33.0,306,4
188,1,1,47.24,2141.0,30.0,306,4
189,1,1,16118.91,550.0,26.0,306,0
190,1,1,22745.12,2072.5,34.0,306,4
191,1,1,4844.87,352.55,26.0,306,0
